sale_date,total_units_sold,total_revenue,total_cost,total_gross_profit,total_marketing_spend,active_skus,active_stores,day_of_week,month,year,quarter,is_weekend
2023-04-13,16147,980771.02,486693.05,494077.97,661.5,100,5,3,4,2023,2,0
2023-04-14,21465,1280773.47,635266.87,645506.6,661.5,100,5,4,4,2023,2,0
2023-04-15,25166,1514365.15,750578.05,763787.1,661.5,100,5,5,4,2023,2,1
2023-04-16,24408,1507560.24,748443.04,759117.2,661.5,100,5,6,4,2023,2,1
2023-04-17,15512,966467.16,479504.96,486962.2,661.5,100,5,0,4,2023,2,0
2023-04-18,16177,988586.77,490119.94,498466.83,661.5,100,5,1,4,2023,2,0
2023-04-19,16075,995855.63,494355.68,501499.95,661.5,100,5,2,4,2023,2,0
2023-04-20,16301,975407.99,483689.97,491718.02,661.5,100,5,3,4,2023,2,0
2023-04-21,40056,2278702.11,1122990.96,1155711.15,4189.5,100,5,4,4,2023,2,0
2023-04-22,29583,1995480.9,981742.37,1013738.53,4000.5,100,5,5,4,2023,2,1
2023-04-23,29665,2000632.36,988457.35,1012175.01,4000.5,100,5,6,4,2023,2,1
2023-04-24,18974,1272410.7,628156.91,644253.79,4000.5,100,5,0,4,2023,2,0
2023-04-25,19571,1278246.59,632301.3,645945.29,4000.5,100,5,1,4,2023,2,0
2023-04-26,19624,1268414.94,624816.49,643598.45,4000.5,100,5,2,4,2023,2,0
2023-04-27,19683,1296943.31,640290.91,656652.4,4000.5,100,5,3,4,2023,2,0
2023-04-28,25532,1687610.2,833254.11,854356.09,4000.5,100,5,4,4,2023,2,0
2023-04-29,16533,1148652.26,568137.1900000001,580515.07,0.0,100,5,5,4,2023,2,1
2023-04-30,16669,1165614.28,576923.65,588690.63,0.0,100,5,6,4,2023,2,1
2023-05-01,9988,682655.16,337225.88,345429.28,0.0,100,5,0,5,2023,2,0
2023-05-02,9778,678805.57,335798.73,343006.84,0.0,100,5,1,5,2023,2,0
2023-05-03,9817,686899.56,339526.28,347373.27999999997,0.0,100,5,2,5,2023,2,0
2023-05-04,10264,715091.13,352975.2,362115.93,0.0,100,5,3,5,2023,2,0
2023-05-05,13338,923474.12,455781.37,467692.75,0.0,100,5,4,5,2023,2,0
2023-05-06,16029,1100303.07,543168.04,557135.03,0.0,100,5,5,5,2023,2,1
2023-05-07,15512,1087346.0,536786.33,550559.67,0.0,100,5,6,5,2023,2,1
2023-05-08,9957,692126.5,342305.39,349821.11,0.0,100,5,0,5,2023,2,0
2023-05-09,10195,705279.47,348126.08999999997,357153.38,0.0,100,5,1,5,2023,2,0
2023-05-10,9979,679310.42,335075.89,344234.52999999997,0.0,100,5,2,5,2023,2,0
2023-05-11,10101,684420.44,337603.28,346817.16,0.0,100,5,3,5,2023,2,0
2023-05-12,13081,902144.2,445323.44,456820.76,0.0,100,5,4,5,2023,2,0
2023-05-13,15516,1079867.69,532729.0,547138.69,0.0,100,5,5,5,2023,2,1
2023-05-14,15526,1052876.12,521184.86,531691.26,0.0,100,5,6,5,2023,2,1
2023-05-15,9898,679829.11,336255.21,343573.9,0.0,100,5,0,5,2023,2,0
2023-05-16,10007,693577.5599999999,342414.99,351162.57,0.0,100,5,1,5,2023,2,0
2023-05-17,9804,685874.63,339352.13,346522.5,0.0,100,5,2,5,2023,2,0
2023-05-18,10008,699986.99,345835.74,354151.25,0.0,100,5,3,5,2023,2,0
2023-05-19,13051,922204.62,455425.97,466778.65,0.0,100,5,4,5,2023,2,0
2023-05-20,15683,1096494.7,540967.23,555527.47,0.0,100,5,5,5,2023,2,1
2023-05-21,15158,1066637.49,527262.94,539374.55,0.0,100,5,6,5,2023,2,1
2023-05-22,10035,697476.89,344612.57,352864.32,0.0,100,5,0,5,2023,2,0
2023-05-23,9967,707124.05,349015.63,358108.42,0.0,100,5,1,5,2023,2,0
2023-05-24,9998,700284.02,345987.57,354296.45,0.0,100,5,2,5,2023,2,0
2023-05-25,10057,689011.07,340325.9,348685.17,0.0,100,5,3,5,2023,2,0
2023-05-26,13373,930640.56,459591.12,471049.44,0.0,100,5,4,5,2023,2,0
2023-05-27,15568,1063563.52,524100.74,539462.78,0.0,100,5,5,5,2023,2,1
2023-05-28,15561,1085969.0,536755.91,549213.09,0.0,100,5,6,5,2023,2,1
2023-05-29,9917,695281.52,343296.14,351985.38,0.0,100,5,0,5,2023,2,0
2023-05-30,9948,686400.99,339100.49,347300.5,0.0,100,5,1,5,2023,2,0
2023-05-31,9933,697941.54,344841.43,353100.11,0.0,100,5,2,5,2023,2,0
2023-06-01,9996,677487.92,335006.81,342481.11,0.0,100,5,3,6,2023,2,0
2023-06-02,13207,923014.7,455243.0,467771.7,0.0,100,5,4,6,2023,2,0
2023-06-03,15424,1082724.98,535691.74,547033.24,0.0,100,5,5,6,2023,2,1
2023-06-04,15629,1077452.43,531879.84,545572.59,0.0,100,5,6,6,2023,2,1
2023-06-05,10065,673387.37,332531.69,340855.68,0.0,100,5,0,6,2023,2,0
2023-06-06,9919,668392.14,330076.05,338316.09,0.0,100,5,1,6,2023,2,0
2023-06-07,10076,684623.24,338572.46,346050.77999999997,0.0,100,5,2,6,2023,2,0
2023-06-08,10027,705192.08,348240.64,356951.44,0.0,100,5,3,6,2023,2,0
2023-06-09,13183,949862.12,467696.02,482166.1,0.0,100,5,4,6,2023,2,0
2023-06-10,15554,1098107.88,541407.03,556700.85,0.0,100,5,5,6,2023,2,1
2023-06-11,15549,1082047.83,534421.42,547626.41,0.0,100,5,6,6,2023,2,1
2023-06-12,9678,682957.44,337309.45,345647.99,0.0,100,5,0,6,2023,2,0
2023-06-13,9847,689670.1,340704.65,348965.45,0.0,100,5,1,6,2023,2,0
2023-06-14,10003,685308.5,338983.23,346325.27,0.0,100,5,2,6,2023,2,0
2023-06-15,11455,838626.9400000001,415746.21,422880.73,542.5,100,5,3,6,2023,2,0
2023-06-16,15540,1117774.89,553287.59,564487.3,542.5,100,5,4,6,2023,2,0
2023-06-17,17815,1281379.94,634001.41,647378.53,542.5,100,5,5,6,2023,2,1
2023-06-18,17982,1312926.68,650445.84,662480.84,542.5,100,5,6,6,2023,2,1
2023-06-19,11491,821426.88,407357.5,414069.38,542.5,100,5,0,6,2023,2,0
2023-06-20,11250,830340.89,410474.33,419866.56,542.5,100,5,1,6,2023,2,0
2023-06-21,11546,842143.17,416370.25,425772.92,542.5,100,5,2,6,2023,2,0
2023-06-22,11549,824013.59,408252.17,415761.42,542.5,100,5,3,6,2023,2,0
2023-06-23,15146,1059660.15,525426.83,534233.32,542.5,100,5,4,6,2023,2,0
2023-06-24,17590,1292333.43,640250.23,652083.2,542.5,100,5,5,6,2023,2,1
2023-06-25,17569,1267277.96,627723.37,639554.59,542.5,100,5,6,6,2023,2,1
2023-06-26,11155,821280.39,406724.51,414555.88,542.5,100,5,0,6,2023,2,0
2023-06-27,11539,816354.83,403957.38,412397.45,542.5,100,5,1,6,2023,2,0
2023-06-28,11516,823003.63,407951.18,415052.45,542.5,100,5,2,6,2023,2,0
2023-06-29,11469,845774.49,418692.64,427081.85,542.5,100,5,3,6,2023,2,0
2023-06-30,15253,1112831.77,550597.47,562234.3,542.5,100,5,4,6,2023,2,0
2023-07-01,17086,1217897.71,602272.09,615625.62,542.5,100,5,5,7,2023,3,1
2023-07-02,16961,1206820.92,597734.31,609086.61,542.5,100,5,6,7,2023,3,1
2023-07-03,11116,787706.79,389456.24,398250.55,542.5,100,5,0,7,2023,3,0
2023-07-04,11000,785997.36,388453.15,397544.21,542.5,100,5,1,7,2023,3,0
2023-07-05,10907,766365.49,379330.13,387035.36,542.5,100,5,2,7,2023,3,0
2023-07-06,10842,766359.01,379678.87,386680.14,542.5,100,5,3,7,2023,3,0
2023-07-07,14714,1063262.32,525497.73,537764.59,542.5,100,5,4,7,2023,3,0
2023-07-08,16803,1224234.09,605126.64,619107.45,542.5,100,5,5,7,2023,3,1
2023-07-09,17154,1213132.2,600321.13,612811.07,542.5,100,5,6,7,2023,3,1
2023-07-10,11070,782157.08,387045.07,395112.01,542.5,100,5,0,7,2023,3,0
2023-07-11,11041,787323.42,388524.31,398799.11,542.5,100,5,1,7,2023,3,0
2023-07-12,10870,778862.12,385356.45,393505.67,542.5,100,5,2,7,2023,3,0
2023-07-13,10479,776075.41,384336.82,391738.59,542.5,100,5,3,7,2023,3,0
2023-07-14,14488,1036389.27,513458.04,522931.23,542.5,100,5,4,7,2023,3,0
2023-07-15,17249,1222376.41,605016.66,617359.75,542.5,100,5,5,7,2023,3,1
2023-07-16,14693,1024173.91,504278.37,519895.54,0.0,100,5,6,7,2023,3,1
2023-07-17,9390,662465.45,327226.0,335239.45,0.0,100,5,0,7,2023,3,0
2023-07-18,9758,645399.66,317946.46,327453.2,0.0,100,5,1,7,2023,3,0
2023-07-19,9537,644261.55,317846.66,326414.89,0.0,100,5,2,7,2023,3,0
2023-07-20,9601,669410.0,329922.67,339487.33,0.0,100,5,3,7,2023,3,0
2023-07-21,12585,872364.28,430643.16,441721.12,0.0,100,5,4,7,2023,3,0
2023-07-22,14846,1008762.13,496390.13,512372.0,0.0,100,5,5,7,2023,3,1
2023-07-23,14822,1025863.89,506877.65,518986.24,0.0,100,5,6,7,2023,3,1
2023-07-24,9463,675617.71,333426.66,342191.05,0.0,100,5,0,7,2023,3,0
2023-07-25,9479,649975.46,320044.65,329930.81,0.0,100,5,1,7,2023,3,0
2023-07-26,9617,669833.82,330158.49,339675.33,0.0,100,5,2,7,2023,3,0
2023-07-27,9504,658377.73,325453.26,332924.47,0.0,100,5,3,7,2023,3,0
2023-07-28,12997,893056.37,439866.35,453190.02,0.0,100,5,4,7,2023,3,0
2023-07-29,14974,1035228.5,510492.11,524736.39,0.0,100,5,5,7,2023,3,1
2023-07-30,14760,1028964.14,507562.4,521401.74,0.0,100,5,6,7,2023,3,1
2023-07-31,9559,650049.12,321271.91,328777.21,0.0,100,5,0,7,2023,3,0
2023-08-01,9413,647254.87,319237.18,328017.69,0.0,100,5,1,8,2023,3,0
2023-08-02,9449,669339.13,330310.57,339028.56,0.0,100,5,2,8,2023,3,0
2023-08-03,9461,649395.15,320852.15,328543.0,0.0,100,5,3,8,2023,3,0
2023-08-04,12813,879314.77,433810.96,445503.81,0.0,100,5,4,8,2023,3,0
2023-08-05,14872,1023882.13,504155.37,519726.76,0.0,100,5,5,8,2023,3,1
2023-08-06,14724,1002685.32,494237.1,508448.22,0.0,100,5,6,8,2023,3,1
2023-08-07,9688,654138.62,323734.32,330404.3,0.0,100,5,0,8,2023,3,0
2023-08-08,9486,665202.42,327900.03,337302.39,0.0,100,5,1,8,2023,3,0
2023-08-09,9580,658518.25,324840.52,333677.73,0.0,100,5,2,8,2023,3,0
2023-08-10,9814,665642.34,327965.02,337677.32,0.0,100,5,3,8,2023,3,0
2023-08-11,13063,902134.91,444719.16,457415.75,0.0,100,5,4,8,2023,3,0
2023-08-12,14724,994666.02,491773.12,502892.9,0.0,100,5,5,8,2023,3,1
2023-08-13,14827,1035077.82,511190.68,523887.14,0.0,100,5,6,8,2023,3,1
2023-08-14,9550,652145.19,321387.85,330757.34,0.0,100,5,0,8,2023,3,0
2023-08-15,11249,880276.23,433160.4,447115.83,672.5,100,5,1,8,2023,3,0
2023-08-16,11218,862406.17,424460.27999999997,437945.89,672.5,100,5,2,8,2023,3,0
2023-08-17,11119,878502.2,432969.05,445533.15,672.5,100,5,3,8,2023,3,0
2023-08-18,14763,1190174.64,586358.61,603816.03,672.5,100,5,4,8,2023,3,0
2023-08-19,17453,1348905.04,664574.96,684330.08,672.5,100,5,5,8,2023,3,1
2023-08-20,17166,1395747.26,687591.84,708155.42,672.5,100,5,6,8,2023,3,1
2023-08-21,11302,904645.87,446326.23,458319.64,672.5,100,5,0,8,2023,3,0
2023-08-22,11219,894212.92,441011.98,453200.94,672.5,100,5,1,8,2023,3,0
2023-08-23,11294,907580.79,447724.75,459856.04,672.5,100,5,2,8,2023,3,0
2023-08-24,11151,875542.94,431313.99,444228.95,672.5,100,5,3,8,2023,3,0
2023-08-25,15020,1184862.49,585111.09,599751.4,672.5,100,5,4,8,2023,3,0
2023-08-26,17473,1381271.27,680235.09,701036.18,672.5,100,5,5,8,2023,3,1
2023-08-27,17224,1352038.41,666779.83,685258.58,672.5,100,5,6,8,2023,3,1
2023-08-28,11112,881580.61,433813.89,447766.72,672.5,100,5,0,8,2023,3,0
2023-08-29,11493,914540.44,450116.07,464424.37,672.5,100,5,1,8,2023,3,0
2023-08-30,11018,879160.6,433167.87,445992.73,672.5,100,5,2,8,2023,3,0
2023-08-31,11281,882417.57,434839.28,447578.29,672.5,100,5,3,8,2023,3,0
2023-09-01,15592,1231620.99,608263.24,623357.75,672.5,100,5,4,9,2023,3,0
2023-09-02,18448,1429360.49,706115.09,723245.4,672.5,100,5,5,9,2023,3,1
2023-09-03,18351,1460734.67,721152.5599999999,739582.11,672.5,100,5,6,9,2023,3,1
2023-09-04,11579,933421.7,460445.67,472976.02999999997,672.5,100,5,0,9,2023,3,0
2023-09-05,11758,951895.19,469011.63,482883.56,672.5,100,5,1,9,2023,3,0
2023-09-06,11677,944427.2,465361.59,479065.61,672.5,100,5,2,9,2023,3,0
2023-09-07,11769,921176.95,454237.43,466939.52,672.5,100,5,3,9,2023,3,0
2023-09-08,15764,1263959.88,622112.86,641847.02,672.5,100,5,4,9,2023,3,0
2023-09-09,18197,1421420.84,701147.17,720273.67,672.5,100,5,5,9,2023,3,1
2023-09-10,18603,1464908.6,722956.0,741952.6,672.5,100,5,6,9,2023,3,1
2023-09-11,9902,687873.22,340365.61,347507.61,0.0,100,5,0,9,2023,3,0
2023-09-12,10040,699466.5,344709.33,354757.17,0.0,100,5,1,9,2023,3,0
2023-09-13,9894,693434.19,342473.2,350960.99,0.0,100,5,2,9,2023,3,0
2023-09-14,9760,682879.92,336983.77,345896.15,0.0,100,5,3,9,2023,3,0
2023-09-15,12970,914042.36,451914.02,462128.34,0.0,100,5,4,9,2023,3,0
2023-09-16,15645,1074934.95,531773.54,543161.41,0.0,100,5,5,9,2023,3,1
2023-09-17,15806,1066038.09,526589.19,539448.9,0.0,100,5,6,9,2023,3,1
2023-09-18,10126,694234.49,342916.47,351318.02,0.0,100,5,0,9,2023,3,0
2023-09-19,9893,687131.53,339000.86,348130.67,0.0,100,5,1,9,2023,3,0
2023-09-20,9955,690710.65,340980.81,349729.84,0.0,100,5,2,9,2023,3,0
2023-09-21,9796,697639.2,343665.23,353973.97,0.0,100,5,3,9,2023,3,0
2023-09-22,13504,925509.2,456749.72,468759.48,0.0,100,5,4,9,2023,3,0
2023-09-23,15530,1089259.88,538313.3,550946.58,0.0,100,5,5,9,2023,3,1
2023-09-24,15321,1049474.61,518590.47,530884.14,0.0,100,5,6,9,2023,3,1
2023-09-25,10072,687412.42,339510.15,347902.27,0.0,100,5,0,9,2023,3,0
2023-09-26,10149,696617.7,343765.88,352851.82,0.0,100,5,1,9,2023,3,0
2023-09-27,10033,687272.78,339551.62,347721.16,0.0,100,5,2,9,2023,3,0
2023-09-28,10262,694334.66,343358.17,350976.49,0.0,100,5,3,9,2023,3,0
2023-09-29,13053,917105.69,452684.29,464421.4,0.0,100,5,4,9,2023,3,0
2023-09-30,15415,1071917.15,529313.67,542603.48,0.0,100,5,5,9,2023,3,1
2023-10-01,16390,1146266.8,568132.74,578134.0599999999,0.0,100,5,6,10,2023,4,1
2023-10-02,11110,756689.57,375570.58,381118.99,0.0,100,5,0,10,2023,4,0
2023-10-03,10619,735336.67,364632.77,370703.9,0.0,100,5,1,10,2023,4,0
2023-10-04,10869,758512.44,376952.64,381559.8,0.0,100,5,2,10,2023,4,0
2023-10-05,10858,745679.97,369472.05,376207.92,0.0,100,5,3,10,2023,4,0
2023-10-06,14405,996241.71,494092.79,502148.92,0.0,100,5,4,10,2023,4,0
2023-10-07,16282,1128976.26,559792.39,569183.87,0.0,100,5,5,10,2023,4,1
2023-10-08,16424,1168184.49,579497.04,588687.45,0.0,100,5,6,10,2023,4,1
2023-10-09,10538,741815.08,367745.71,374069.37,0.0,100,5,0,10,2023,4,0
2023-10-10,10661,732837.19,363770.38,369066.81,0.0,100,5,1,10,2023,4,0
2023-10-11,10796,728482.01,361804.91,366677.1,0.0,100,5,2,10,2023,4,0
2023-10-12,10487,726558.63,360520.83,366037.8,0.0,100,5,3,10,2023,4,0
2023-10-13,14337,991941.88,492574.29,499367.59,0.0,100,5,4,10,2023,4,0
2023-10-14,16560,1136126.22,563520.39,572605.83,0.0,100,5,5,10,2023,4,1
2023-10-15,17200,1174157.59,582206.55,591951.04,0.0,100,5,6,10,2023,4,1
2023-10-16,10712,745990.51,369795.85,376194.66,0.0,100,5,0,10,2023,4,0
2023-10-17,10731,752182.98,373266.67,378916.31,0.0,100,5,1,10,2023,4,0
2023-10-18,10907,744990.22,369538.58,375451.64,0.0,100,5,2,10,2023,4,0
2023-10-19,10725,744443.34,369503.18,374940.16,0.0,100,5,3,10,2023,4,0
2023-10-20,14488,1001505.54,496313.64,505191.9,0.0,100,5,4,10,2023,4,0
2023-10-21,17067,1156268.23,573013.61,583254.62,0.0,100,5,5,10,2023,4,1
2023-10-22,16989,1156807.56,573678.84,583128.72,0.0,100,5,6,10,2023,4,1
2023-10-23,10837,738261.55,365755.43,372506.12,0.0,100,5,0,10,2023,4,0
2023-10-24,10829,759185.6900000001,376279.26,382906.43,0.0,100,5,1,10,2023,4,0
2023-10-25,10615,739187.41,367023.36,372164.05,0.0,100,5,2,10,2023,4,0
2023-10-26,10680,736094.8099999999,366214.41,369880.4,0.0,100,5,3,10,2023,4,0
2023-10-27,14484,972838.23,482602.05,490236.18,0.0,100,5,4,10,2023,4,0
2023-10-28,16555,1155247.11,572634.89,582612.22,0.0,100,5,5,10,2023,4,1
2023-10-29,16844,1173599.23,582612.7,590986.53,0.0,100,5,6,10,2023,4,1
2023-10-30,11109,761553.01,377997.66,383555.35,0.0,100,5,0,10,2023,4,0
2023-10-31,10683,742987.23,368493.32,374493.91,0.0,100,5,1,10,2023,4,0
2023-11-01,12209,1013238.11,502796.26,510441.85,0.0,100,5,2,11,2023,4,0
2023-11-02,12791,1044301.92,517386.24,526915.68,0.0,100,5,3,11,2023,4,0
2023-11-03,17196,1375407.7,682983.96,692423.74,0.0,100,5,4,11,2023,4,0
2023-11-04,19674,1635576.9,808703.39,826873.51,0.0,100,5,5,11,2023,4,1
2023-11-05,19837,1601447.81,792450.95,808996.86,0.0,100,5,6,11,2023,4,1
2023-11-06,12701,1041217.74,515649.67,525568.07,0.0,100,5,0,11,2023,4,0
